code,code_description,terminology,active_in_algorithm,diabetes_type,diabetes_type_level2,diabetes_type_level3
E14,Unspecified diabetes mellitus,ICD10,1,Diabetes NOS,,
E140,Unspecified diabetes mellitus with coma,ICD10,1,Diabetes NOS,,
E141,Unspecified diabetes mellitus with ketoacidosis,ICD10,1,Diabetes NOS,,
E142,Unspecified diabetes mellitus with renal complications,ICD10,1,Diabetes NOS,,
E143,Unspecified diabetes mellitus with ophthalmic complications,ICD10,1,Diabetes NOS,,
E144,Unspecified diabetes mellitus with neurological complications,ICD10,1,Diabetes NOS,,
E145,Unspecified diabetes mellitus with peripheral circulatory complications,ICD10,1,Diabetes NOS,,
E146,Unspecified diabetes mellitus with other specified complications,ICD10,1,Diabetes NOS,,
E147,Unspecified diabetes mellitus with multiple complications,ICD10,1,Diabetes NOS,,
E148,Unspecified diabetes mellitus with unspecified complications,ICD10,1,Diabetes NOS,,
E149,Unspecified diabetes mellitus without complications,ICD10,1,Diabetes NOS,,
G590,Diabetic mononeuropathy,ICD10,1,Diabetes NOS,,
G632,Diabetic polyneuropathy,ICD10,1,Diabetes NOS,,
H280,Diabetic cataract,ICD10,1,Diabetes NOS,,
H360,Diabetic retinopathy,ICD10,1,Diabetes NOS,,
M142,Diabetic arthropathy,ICD10,1,Diabetes NOS,,
N083,Glomerular disorders in diabetes mellitus,ICD10,1,Diabetes NOS,,
Y423,Insulin and oral hypoglycaemic [antidiabetic] drugs,ICD10,1,Diabetes NOS,,
E13,Other specified diabetes mellitus,ICD10,1,Diabetes NOS,,
E130,Other specified diabetes mellitus with coma,ICD10,1,Diabetes NOS,,
E131,Other specified diabetes mellitus with ketoacidosis,ICD10,1,Diabetes NOS,,
E132,Other specified diabetes mellitus with renal complications,ICD10,1,Diabetes NOS,,
E133,Other specified diabetes mellitus with ophthalmic complications,ICD10,1,Diabetes NOS,,
E134,Other specified diabetes mellitus with neurological complications,ICD10,1,Diabetes NOS,,
E135,Other specified diabetes mellitus with peripheral circulatory complications,ICD10,1,Diabetes NOS,,
E136,Other specified diabetes mellitus with other specified complications,ICD10,1,Diabetes NOS,,
E137,Other specified diabetes mellitus with multiple complications,ICD10,1,Diabetes NOS,,
E138,Other specified diabetes mellitus with unspecified complications,ICD10,1,Diabetes NOS,,
E139,Other specified diabetes mellitus without complications,ICD10,1,Diabetes NOS,,
O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified",ICD10,1,Diabetes NOS,,
530558861000132000,Atypical diabetes mellitus,SNOMED,1,Diabetes NOS,Atypical,
530558861000132104,Atypical diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Atypical,
368141000119106,Autonomic neuropathy due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368151000119108,Cataract due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368171000119104,Dermatitis due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368201000119100,Disorder of kidney due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368421000119108,Chronic kidney disease stage 1 due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368431000119106,Chronic kidney disease stage 2 due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368441000119102,Chronic kidney disease stage 3 due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368451000119100,Chronic kidney disease stage 4 due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368461000119103,Chronic kidney disease stage 5 due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
5368009,Drug-induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Drug Induced,
103981000119101,Proliferative retinopathy following surgery due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
10660471000119108,Ulcer of left foot due to type 2 diabetes mellitus,SNOMED,1,Diabetes NOS,Due to diabetes,
111556005,Ketoacidosis without coma due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
126534007,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
126535008,Motor polyneuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
127011001,Sensory neuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
127013003,Disorder of kidney due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
127014009,Peripheral angiopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
16890881000119106,History of proliferative retinopathy due to diabetes mellitus (situation),SNOMED,1,Diabetes NOS,Due to diabetes,
170766006,Loss of hypoglycemic warning due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
193141005,Mononeuritis multiplex due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
193183000,Acute painful neuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
193184006,Chronic painful neuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
193185007,Asymptomatic neuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
193349004,Preproliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
193350004,Advanced maculopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
193489006,Iritis due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
19378003,Pseudotabes due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
197605007,Nephrotic syndrome due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
200687002,Cellulitis of foot due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
201250006,Ischemic ulcer of foot due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
201251005,Neuropathic ulcer of foot due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
201723002,Cheiroarthropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
201724008,Neuropathic arthropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
230572002,Neuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
230574001,Acute painful polyneuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
230575000,Chronic painful polyneuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
230576004,Asymmetric polyneuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
230577008,Mononeuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
230579006,Thoracic radiculopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
232020009,Disorder of macula due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
232021008,Proliferative retinopathy with optic disc neovascularization due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
232022001,Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
232023006,Traction detachment of retina due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
236499007,Microalbuminuric nephropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
236500003,Proteinuric nephropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
237620003,Abnormal metabolic state due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
237621004,Severe hyperglycemia due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
237632004,Hypoglycemic event due to diabetes (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
237633009,Hypoglycemia due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
237635002,Nocturnal hypoglycemia due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
238981002,Disorder of soft tissue due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
238982009,Dermopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
238983004,Thick skin syndrome due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
238984005,Rubeosis faciei due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
25093002,Disorder of eye due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
25412000,Microaneurysm of retinal artery due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
26298008,Ketoacidotic coma due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
267604001,Myasthenic syndrome due to diabetic mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
309426007,Glomerulopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
310387003,Intracapillary glomerulosclerosis of kidney due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
310505005,Hyperosmolar non-ketotic state due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
311782002,Advanced retinal disease due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312903003,Mild nonproliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312904009,Moderate nonproliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312905005,Severe nonproliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312906006,Non-high-risk proliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312907002,High risk proliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312908007,Quiescent proliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312909004,Proliferative retinopathy with iris neovascularization due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312910009,Vitreous hemorrhage due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
312912001,Macular edema due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
314010006,Diffuse exudative maculopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
314011005,Focal exudative maculopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
314014002,Ischemic maculopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
314015001,Mixed maculopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
314537004,Optic papillopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
35777006,Mononeuropathy multiplex due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
359611005,Neuropathy with neurologic complication due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
361216007,Femoral mononeuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
367241000119104,Hyperosmolar coma due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
367261000119100,Hyperosmolarity due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
368181000119101,Ulcer of foot due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
368251000119101,Polyneuropathy due to drug induced diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
371087003,Ulcer of foot due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
38046004,Diffuse glomerulosclerosis of kidney due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
38205001,Diarrhea due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
39058009,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
390834004,Nonproliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
39127005,Symmetric proximal motor neuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
39181008,Radiculoplexus neuropathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
398140007,Post hypoglycemic hyperglycemia due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399862001,High risk proliferative retinopathy without macular edema due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399863006,Very severe nonproliferative retinopathy without macular edema due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399864000,Macular edema not clinically significant due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399865004,Very severe proliferative retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399866003,Venous beading of retina due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399868002,Intraretinal microvascular anomaly due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399869005,High risk proliferative retinopathy not amenable to photocoagulation due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399870006,Non-high-risk proliferative retinopathy with no macular edema due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399871005,Visually threatening retinopathy due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399872003,Severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
399873008,Severe nonproliferative retinopathy without macular edema due to diabetes mellitus (disorder),SNOMED,1,Diabetes NOS,Due to diabetes,
