code,code_description,terminology,active_in_algorithm,diabetes_type,diabetes_type_level2,diabetes_type_level3
292571000000107,Cystic fibrosis related diabetes mellitus,SNOMED,1,Other,Genetic,Cystic Fibrosis
286451000000100,Cystic fibrosis related diabetes mellitus (disorder),SNOMED,1,Other,Genetic,Cystic Fibrosis
426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder),SNOMED,1,Other,Genetic,Cystic Fibrosis
427089005,Diabetes mellitus due to cystic fibrosis (disorder),SNOMED,1,Other,Genetic,Cystic Fibrosis
609562003,Maturity onset diabetes of the young type 1 (disorder),SNOMED,1,Other,Genetic,MODY
237604008,Maturity onset diabetes of the young type 2 (disorder),SNOMED,1,Other,Genetic,MODY
78471000000108,Maturity onset diabetes mellitus in young,SNOMED,1,Other,Genetic,MODY
28453007,Maturity onset diabetes mellitus in young (disorder),SNOMED,1,Other,Genetic,MODY
400971001,Maturity onset diabetes mellitus in young (disorder),SNOMED,1,Other,Genetic,MODY
974141000000109,Maturity onset diabetes of the young type 5,SNOMED,1,Other,Genetic,MODY
974131000000100,Maturity onset diabetes of the young type 5 (disorder),SNOMED,1,Other,Genetic,MODY
609561005,Maturity-onset diabetes of the young (disorder),SNOMED,1,Other,Genetic,MODY
609577006,Maturity-onset diabetes of the young type 10 (disorder),SNOMED,1,Other,Genetic,MODY
609578001,Maturity-onset diabetes of the young type 11 (disorder),SNOMED,1,Other,Genetic,MODY
609570008,Maturity-onset diabetes of the young type 3 (disorder),SNOMED,1,Other,Genetic,MODY
609571007,Maturity-onset diabetes of the young type 4 (disorder),SNOMED,1,Other,Genetic,MODY
609572000,Maturity-onset diabetes of the young type 5 (disorder),SNOMED,1,Other,Genetic,MODY
609573005,Maturity-onset diabetes of the young type 6 (disorder),SNOMED,1,Other,Genetic,MODY
609574004,Maturity-onset diabetes of the young type 7 (disorder),SNOMED,1,Other,Genetic,MODY
