Variable,Variable Group,Variable used directly in algorithm,Variable Type,Variable Description,Example
age_at_diagnosis,Characteristics,Yes,Numeric,Person's age as at their date of diagnosis (defined as the date of a person's first diabetes code (of any type) or the first high HbA1c if more than a year before first diabetes code),Difference between date of diagnosis and date of birth (in years)
NOS_EVER,Codes,Yes,Binary,Flag for if someone has any record of 'NOS' diabetes codes from their DOB to last observable date/date of death,"If NOS_EVER = 1, person has at least one 'NOS' diabetes code; if NOS_EVER = 0, there is no record of any 'NOS' diabetes codes"
OTHER_EVER,Codes,Yes,Binary,Flag for if someone has any record of 'Other' diabetes codes from their DOB to last observable date/date of death,"If OTHER_EVER = 1, person has at least one 'Other' diabetes code; if OTHER_EVER = 0, there is no record of any 'Other' diabetes codes"
TYPE1_EVER,Codes,Yes,Binary,Flag for if someone has any record of 'Type 1' diabetes codes from their DOB to last observable date/date of death,"If TYPE1_EVER = 1, person has at least one 'Type 1' diabetes code; if TYPE1_EVER = 0, there is no record of any 'Type 1' diabetes codes"
type1_more_recent_type2,Codes,Yes,Binary,Flag for if there is a Diabetes Type 1 code more recent than Diabetes Type 2 code,"If type1_more_recent_type2 = 1, person has a 'Type 1' diabetes code more recent than a 'Type 2' diabetes code; if type1_more_recent_type2 = 0, person has a 'Type 2' diabetes code more recent than a 'Type 1' diabetes code or both occurred as at the same date"
TYPE2_EVER,Codes,Yes,Binary,Flag for if someone has any record of 'Type 2' diabetes codes from their DOB to last observable date/date of death,"If TYPE2_EVER = 1, person has at least one 'Type 2' diabetes code; if TYPE2_EVER = 0, there is no record of any 'Type 2' diabetes codes"
ANTIDIABETIC_EVER,Medications,Yes,Binary,Flag for if someone has been prescribed any of the antidiabetic medications from their DOB to last observable date/date of death,"If ANTIDIABETIC_EVER = 1, person has a record of an antidiabetic medication; if ANTIDIABETIC_EVER = 0, there is no record of any antidiabetic medications ever being prescribed"
ANTIDIABETIC_METFORMIN_EVER,Medications,Yes,Binary,Flag for if someone has been prescribed any of the antidiabetic/metformin medications from their DOB to last observable date/date of death,"If ANTIDIABETIC_METFORMIN_EVER = 1, person has a record of an antidiabetic medication; if ANTIDIABETIC_METFORMIN_EVER = 0, there is no record of any antidiabetic medications ever being prescribed"
INSULIN_EVER,Medications,Yes,Binary,Flag for if someone has been prescribed any of the insulin medications from their DOB to last observable date/date of death,"If INSULIN_EVER = 1, person has a record of an antidiabetic medication; if INSULIN_EVER = 0, there is no record of any antidiabetic medications ever being prescribed"
METFORMIN_EVER,Medications,Yes,Binary,Flag for if someone has been prescribed any of the metformin medications from their DOB to last observable date/date of death,"If METFORMIN_EVER = 1, person has a record of an antidiabetic medication; if METFORMIN_EVER = 0, there is no record of any antidiabetic medications ever being prescribed"
not_currently_on_insulin,Medications,Yes,Binary,"Flag for if a person is NOT currently on Insulin, i.e. no Insulin prescription within the last 6 months prior to last observable date.","If not_currently_on_insulin = 1, person has no record of Insulin in the 6 months before the last observable date; if not_currently_on_insulin = 0, there is records of Insulin being prescribed in the 6 months before the last observable date"
on_insulin_within_1year,Medications,Yes,Binary,Flag for if a person went on to Insulin within 1 year of their date of diagnosis (defined as the date of a person's first diabetes code (of any type) or the first high HbA1c if more than a year before first diabetes code),"If on_insulin_within_1year = 1, person has Insulin prescribing records in the first year of diabetes diagnosis; if type1_more_recent_type2 = 0, person was not on Insulin in the first year of diabetes diagnosis"
prescribing_coverage_available,Medications,Yes,Binary,"Flag for if there is prescribing data (Insulin, Metformin, Antidiabetic medication) available for this person. Prescribing coverage in NHS England is only available post April 2018 therefore if a person has died pre April 2018 no prescribing data will be available for them.","If prescribing_coverage_available = 1, a person is still alive as at the 'first prescribing date' (April 2018 as at 2024) and thus there is prescribing data available to be queried for this person; if prescribing_coverage_available = 0, a person has died before the 'first prescribing date' and therefore we have no data on their prescribing history"
